iter	Passed	Remaining
687	10635	4823
688	10650	4807
689	10664	4791
690	10677	4774
691	10690	4758
692	10701	4740
693	10715	4724
694	10729	4708
695	10745	4693
696	10763	4678
697	10776	4662
698	10789	4646
699	10800	4628
700	10813	4612
701	10828	4596
702	10845	4581
703	10859	4565
704	10872	4549
705	10885	4533
706	10897	4516
707	10911	4500
708	10924	4484
709	10937	4467
710	10949	4450
711	10962	4434
712	10976	4418
713	10989	4402
714	11003	4385
715	11016	4369
716	11027	4352
717	11040	4336
718	11053	4320
719	11067	4304
720	11080	4287
721	11091	4270
722	11105	4254
723	11119	4238
724	11131	4222
725	11143	4205
726	11162	4191
727	11176	4175
728	11189	4159
729	11203	4143
730	11216	4127
731	11229	4111
732	11240	4094
733	11255	4079
734	11273	4064
735	11287	4048
736	11302	4033
737	11315	4016
738	11327	4000
739	11339	3984
740	11354	3968
741	11368	3952
742	11384	3937
743	11397	3921
744	11411	3905
745	11423	3889
746	11435	3872
747	11448	3856
748	11461	3840
749	11474	3824
750	11488	3809
751	11500	3792
752	11513	3776
753	11526	3760
754	11538	3744
755	11549	3727
756	11567	3713
757	11580	3697
758	11596	3682
759	11609	3666
760	11622	3650
761	11633	3633
762	11645	3617
763	11659	3601
764	11672	3585
765	11684	3569
766	11698	3553
767	11712	3538
768	11725	3522
769	11739	3506
770	11752	3490
771	11765	3474
772	11776	3458
773	11790	3442
774	11805	3427
775	11818	3411
776	11830	3395
777	11842	3379
778	11856	3363
779	11870	3347
780	11884	3332
781	11896	3316
782	11910	3300
783	11922	3284
784	11935	3269
785	11949	3253
786	11962	3237
787	11981	3223
788	11994	3207
789	12008	3192
790	12021	3176
791	12034	3160
792	12047	3144
793	12060	3129
794	12072	3112
795	12086	3097
796	12101	3082
797	12118	3067
798	12133	3052
799	12146	3036
800	12159	3020
801	12170	3004
802	12184	2989
803	12198	2973
804	12212	2958
805	12226	2942
806	12243	2928
807	12259	2913
808	12270	2897
809	12282	2881
810	12296	2865
811	12309	2849
812	12321	2834
813	12334	2818
814	12347	2802
815	12360	2787
816	12373	2771
817	12391	2757
818	12404	2741
819	12416	2725
820	12429	2710
821	12443	2694
822	12455	2678
823	12468	2663
824	12479	2647
825	12493	2631
826	12505	2616
827	12518	2600
828	12531	2584
829	12544	2569
830	12557	2553
831	12571	2538
832	12583	2522
833	12596	2507
834	12607	2491
835	12620	2475
836	12633	2460
837	12645	2444
838	12658	2429
839	12672	2413
840	12685	2398
841	12698	2382
842	12709	2367
843	12722	2351
844	12736	2336
845	12750	2321
846	12764	2305
847	12776	2290
848	12793	2275
849	12805	2259
850	12818	2244
851	12831	2229
852	12844	2213
853	12856	2198
854	12870	2182
855	12883	2167
856	12896	2151
857	12910	2136
858	12924	2121
859	12935	2105
860	12948	2090
861	12963	2075
862	12976	2059
863	12988	2044
864	12999	2028
865	13013	2013
866	13026	1998
867	13038	1982
868	13050	1967
869	13064	1952
870	13080	1937
871	13094	1922
872	13113	1907
873	13136	1893
874	13160	1880
875	13193	1867
876	13218	1853
877	13243	1840
878	13276	1827
879	13305	1814
